Date,Open,High,Low,Close,Volume
14-Mar-08,129.88,130.30,124.20,126.61,41316269
13-Mar-08,124.10,129.50,123.00,127.94,45151255
12-Mar-08,127.04,128.68,125.17,126.03,37843856
11-Mar-08,124.10,127.48,122.00,127.35,41622202
10-Mar-08,121.98,123.46,119.37,119.69,35739047
7-Mar-08,120.41,122.98,119.05,122.25,43949217
6-Mar-08,124.62,127.50,120.81,120.93,52632054
5-Mar-08,123.58,125.14,122.25,124.49,43636940
4-Mar-08,121.99,124.88,120.40,124.62,63763682
3-Mar-08,124.44,125.98,118.00,121.73,56920466
29-Feb-08,129.29,130.21,124.80,125.02,44829643
28-Feb-08,127.20,132.20,125.77,129.91,57794704
27-Feb-08,118.23,123.05,118.09,122.96,52683413
26-Feb-08,117.64,121.09,115.44,119.15,53745939
25-Feb-08,118.59,120.17,116.66,119.74,44884740
22-Feb-08,122.48,122.51,115.87,119.46,54614502
21-Feb-08,126.05,126.47,120.86,121.54,33504078
20-Feb-08,122.20,124.60,121.68,123.82,34551356
19-Feb-08,125.99,126.75,121.44,122.18,35894478
15-Feb-08,126.27,127.08,124.06,124.63,32184118
14-Feb-08,129.40,130.80,127.01,127.46,34080728
13-Feb-08,126.68,129.78,125.63,129.40,34590469
12-Feb-08,130.70,131.00,123.62,124.86,43784943
11-Feb-08,128.01,129.98,127.20,129.45,42908217
8-Feb-08,122.08,125.70,121.60,125.48,48418661
7-Feb-08,119.97,124.78,117.27,121.24,74450275
6-Feb-08,130.83,131.92,121.77,122.00,56188205
5-Feb-08,130.43,134.00,128.90,129.36,40751491
4-Feb-08,134.21,135.90,131.42,131.65,32115481
1-Feb-08,136.24,136.59,132.18,133.75,36093297
31-Jan-08,129.45,136.65,129.40,135.36,48059713
30-Jan-08,131.37,135.45,130.00,132.18,44394619
29-Jan-08,131.15,132.79,129.05,131.54,39285086
28-Jan-08,128.16,133.20,126.45,130.01,52672974
25-Jan-08,138.99,139.09,129.61,130.01,55526314
24-Jan-08,139.99,140.70,132.01,135.60,71638013
23-Jan-08,136.19,140.00,126.14,139.07,120466292
22-Jan-08,148.06,159.98,146.00,155.64,86963480
18-Jan-08,161.71,165.75,159.61,161.36,61558276
17-Jan-08,161.51,165.36,158.42,160.89,62853413
16-Jan-08,165.31,169.01,156.70,159.64,79191989
15-Jan-08,177.72,179.22,164.66,169.04,83687732
14-Jan-08,177.52,179.42,175.17,178.78,39301774
11-Jan-08,176.00,177.85,170.00,172.69,43997520
10-Jan-08,177.58,181.00,175.41,178.02,52963350
9-Jan-08,171.30,179.50,168.30,179.40,64840673
8-Jan-08,180.14,182.46,170.80,171.25,54421984
7-Jan-08,181.25,183.60,170.23,177.64,74006846
4-Jan-08,191.45,193.00,178.89,180.05,51984122
3-Jan-08,195.41,197.39,192.69,194.93,30073780
2-Jan-08,199.27,200.26,192.55,194.84,38542020
